id,name,amenity,lat,lon
1,Khách sạn Sofitel,,10.784146,106.7022474
2,Trạm Xăng Dầu Số 9,fuel,10.7706834,106.6893379
3,Cửa Hàng Xăng Dầu Comeco,fuel,10.7905722,106.6942144
4,Unknown,fuel,10.7753118,106.7048514
5,Cửa Hàng Xăng Dầu Satra,fuel,10.7689585,106.6966613
6,Unknown,parking,10.7812499,106.6983279
7,Trường Đại Học Ngân Hàng,college,10.7704853,106.7047872
8,Unknown,parking,10.7734144,106.6937048
9,Unknown,parking,10.7814261,106.6969159
10,Unknown,parking,10.7810892,106.6965647
11,Unknown,parking,10.7754919,106.6984902
12,Unknown,parking,10.7761981,106.6977285
13,FamilyMart,,10.7692304,106.7001682
14,Unknown,,10.7737618,106.704673
15,Circle K,,10.7709168,106.6894985
16,Shop&Go!,,10.7718769,106.6904496
17,Unknown,parking,10.7760071,106.702098
18,Circle K,,10.7796921,106.7007494
19,Unknown,parking,10.7771916,106.6962032
20,Unknown,parking,10.7720545,106.697625
21,Unknown,parking,10.7871712,106.7046796
22,Unknown,parking,10.7870396,106.7044597
23,Shop&Go!,,10.7674953,106.7002265
24,Siêu Thị Online Annam Gourmet,,10.7767779,106.7050958
25,Columbia Asia Saigon,hospital,10.7795758,106.6965213
26,Circle K,,10.77194,106.703707
27,Circle K,,10.7744175,106.6966499
28,Citimart,,10.784261,106.69973
29,Bảo tàng Tôn Đức Thắng,,10.7776675,106.7070246
30,Công viên Lê Văn Tám,,10.7869042,106.6941735
31,Đinh Tiên Hoàng,,10.789511,106.6967242
32,Bến Bạch Đằng,,10.7733704,106.7063876
33,Đại học Khoa học Tự nhiên,,10.7622515,106.6830377
34,Chợ Nancy,,10.757051,106.68587
35,Chợ Thái Bình,,10.7669423,106.6875927
36,Đền Trần Hưng Đạo,,10.7912747,106.6952364
37,Công viên Lê Văn Tám,,10.7888286,106.6927829
38,Nguyễn Thị Nghĩa,,10.7699494,106.6934155
39,Chợ Bến Thành,,10.7726204,106.6992917
40,Mầm non Hoa Lư,,10.7851929,106.7087129
41,Nguyễn Hữu Cảnh,,10.7835232,106.7073585
42,Unknown,,10.7856443,106.7085874
43,Nhà hát Thành phố,,10.7780395,106.7035068
44,Bệnh viện Nhi đồng 2,,10.7798555,106.701527
45,Calmette,,10.7678522,106.6992533
46,Nhà thờ Tân Định,,10.7892203,106.6903304
47,Chợ Đakao,,10.7924976,106.6948579
48,Lý Tự Trọng,,10.777076,106.699669
49,Lê Duẩn,,10.7782907,106.6983598
50,Nguyễn Thị Minh Khai,,10.7798086,106.6967169
51,Chùa Ông,,10.7740107,106.6997984
52,Cầu Ông Lãnh,,10.7667542,106.6960483
53,Cầu Ông Lãnh,,10.7662479,106.6965412
54,Trường Bùi Thị Xuân,,10.7693473,106.6879224
55,Nguyễn Văn Thủ,,10.7912552,106.7005492
56,Trạm Xe Bus Hoàng Sa,,10.7923606,106.7033984
57,Trạm Xe Bus Cầu Calmette,,10.7651414,106.6998546
58,Trạm Xe Bus Cầu Calmette,,10.76511,106.7000531
59,Hồ Hảo Hớn,,10.7599322,106.6946981
60,Trường Tiểu học Chương Dương,,10.7582536,106.6915957
61,Cầu Nguyễn Văn Cừ,,10.7541194,106.6872369
62,Cửa Hàng Tiện Lợi Shop&Go!,,10.7896718,106.6935132
63,Circle K,,10.7769943,106.7047402
64,Circle K,,10.7694431,106.7000459
65,Đại học Khoa học Xã hội Nhân văn,,10.7857614,106.7025976
66,Trạm Xe Bus Đại Học Khoa Học Xã Hội Nhân Văn,,10.7857132,106.7024048
67,Tôn Thất Tùng,,10.768731,106.6903772
68,Công trường Mê Linh,,10.776917,106.7058354
69,Công trường Mê Linh,,10.7760722,106.7056997
70,Trường Trung học cơ sở Văn Lang,school,10.7929112,106.6878489
71,Circle K,,10.7706331,106.6878337
72,FamilyMart,,10.7671517,106.6907412
73,Circle K,,10.7668186,106.6910328
74,Ministop,,10.7674283,106.6848633
75,Siêu Thị C&C,,10.7666709,106.6877461
76,Street Food Market,,10.7736896,106.6975615
77,FamilyMart,,10.7862265,106.7013849
78,FamilyMart,,10.7678389,106.6937195
79,Shop&Go!,,10.7791798,106.7002789
80,FamilyMart,,10.7736195,106.6969272
81,Bệnh Viện Mắt Sài Gòn,hospital,10.7713711,106.6909391
82,Bãi Đậu Xe Nguyễn Văn Chiêm,parking,10.7817942,106.6988031
83,FamilyMart,,10.768461,106.68707
84,Circle K,,10.7725534,106.6991115
85,Circle K,,10.7668906,106.6929873
86,Unknown,,10.7699236,106.6925181
87,Cửa Hàng Tiện Lợi B's Mart,,10.7668069,106.6962928
88,Tôn Thất Tùng,,10.7676758,106.6908667
89,Circle K,,10.7697839,106.6924932
90,Trung Tâm Thương Mại Sense Market,,10.7692667,106.6933366
91,Trạm Xe Bus Cityview Shuttle,,10.7744984,106.7047024
92,Thi's Market,,10.7717991,106.7041195
93,Siêu Thị Tiện Lợi US,,10.7618357,106.6901287
94,Tổng Công ty Samco,,10.7596994,106.6881941
95,Trung Tâm Nhật Ngữ Yaruki,school,10.7881755,106.7026429
96,Circle K,,10.771409,106.6970223
97,FamilyMart,,10.7894045,106.702524
98,FamilyMart,,10.7890379,106.7002426
99,Circle K,,10.7732317,106.7033243
100,FamilyMart,,10.7635833,106.693177
